Country Code,Country Name,Score
MMR,Myanmar,N/A
NAM,Namibia,N/A
NRU,Nauru,N/A
NPL,Nepal,57.9
NLD,Netherlands,81.5
NCL,New Caledonia,N/A
NZL,New Zealand,68.2
NIC,Nicaragua,N/A
NER,Niger,N/A
NGA,Nigeria,48.3
MKD,North Macedonia,55.4
MNP,Northern Mariana Islands,N/A
NOR,Norway,75.8
OMN,Oman,63.5
PAK,Pakistan,59.5
PLW,Palau,N/A
PAN,Panama,61.2
PNG,Papua New Guinea,N/A
PRY,Paraguay,N/A
PER,Peru,56.9
PHL,Philippines,66.8
POL,Poland,57.9
PRT,Portugal,72.0
PRI,Puerto Rico (US),59.1
QAT,Qatar,73.6
COG,Republic of Congo,N/A
ROU,Romania,56.5
RUS,Russian Federation,61.6
RWA,Rwanda,N/A
WSM,Samoa,N/A
SMR,San Marino,N/A
STP,Sao Tome and Principe,N/A
SAU,Saudi Arabia,62.2
SEN,Senegal,N/A
SRB,Serbia,52.1
SYC,Seychelles,N/A
SLE,Sierra Leone,N/A
SGP,Singapore,71.9
SXM,Sint Maarten (Dutch part),N/A
SVK,Slovak Republic,58.2
SVN,Slovenia,66.2
SLB,Solomon Islands,N/A
SOM,Somalia,N/A
ZAF,South Africa,64.0
SSD,South Sudan,N/A
ESP,Spain,77.2
LKA,Sri Lanka,70.7
KNA,St. Kitts and Nevis,N/A
LCA,St. Lucia,N/A
MAF,St. Martin (French part),N/A
VCT,St. Vincent and the Grenadines,N/A
SDN,Sudan,N/A
SUR,Suriname,N/A
SWE,Sweden,68.3
CHE,Switzerland,71.2
SYR,Syria,35.4
TJK,Tajikistan,N/A
TZA,Tanzania,N/A
THA,Thailand,77.5
BHS,The Bahamas,N/A
GMB,The Gambia,N/A
TLS,Timor-Leste,N/A
TGO,Togo,N/A
TON,Tonga,N/A
TTO,Trinidad and Tobago,53.6
TUN,Tunisia,56.6
TUR,Turkiye,71.3
TKM,Turkmenistan,N/A
TCA,Turks and Caicos Islands,N/A
TUV,Tuvalu,N/A
UGA,Uganda,N/A
UKR,Ukraine,55.8
ARE,United Arab Emirates,70.8
GBR,United Kingdom,72.7
USA,United States,67.0
URY,Uruguay,68.5
UZB,Uzbekistan,N/A
VUT,Vanuatu,N/A
VEN,Venezuela,39.9
VNM,Viet Nam,62.2
VIR,Virgin Islands (U.S.),N/A
PSE,West Bank and Gaza,N/A
YEM,Yemen,N/A
ZMB,Zambia,N/A
ZWE,Zimbabwe,N/A
